"","Country","City","CPI with 5 Dimensions","CPI with 4 Dimensions","Productivity Index","Quality of Life Index","Infrustructure Index","Environment Index","Equity Index"
"34","Kenya","Nairobi","0.59286075471981148","0.67317076594733483","0.48113888167724594","0.55883940951416544","0.85950276026961359","0.88857938718662954","0.3566666666666668"
"35","Liberia","Monrovia","0.31323690981001046","0.28506331776661797","4.754124231134893E-2","0.38118077032229253","0.41134153454625849","0.88585220055710312","0.45666666666666678"
"36","Madagascar","Antananarivo","0.46534242928765984","0.4459607426883781","0.17094375209348375","0.55810715718815496","0.51076437369667849","0.8116991643454039","0.55166666666666675"
"37","Mali","Bamako","0.49090743788661645","0.45195101259054338","0.40059679863677061","0.41607391800704707","0.54362032289216156","0.46045988857938724","0.68333333333333335"
"38","Mexico","Mexico City","0.70891848156893789","0.81567235205840993","0.7427737061576315","0.76436367605049682","0.89999576254756541","0.86629526462395545","0.40450000000000008"
"39","Moldova","Chisinau","0.69800634419469754","0.69341768082790189","0.33985231521435122","0.85016492382402475","0.89513923400541817","0.89391378830083568","0.71666666666666679"
"40","Mongolia","Ulaanbaatar","0.67528436570455475","0.66416228046846393","0.4931895803452454","0.776891710551463","0.6320008435604646","0.80353498607242346","0.72166666666666668"
"41","Morocco","Casablanca","0.6466394227033555","0.699711362326632","0.63425584203424801","0.51284550498136128","0.82674037209484519","0.89136490250696376","0.47166666666666679"
"42","Nepal","Kathmundu","0.59848313710963807","0.59402165761604619","0.38498048016459441","0.62092867604896584","0.73983006271383356","0.70403899721448471","0.6166666666666667"
"43","Netherlands","Amsterdam","0.8946627895665018","0.9148326541556232","0.86583843489693413","0.87160369038895802","0.99497474666872332","0.93282172701949861","0.81833333333333336"
"44","New Zealand","Auckland","0.86163241393057322","0.92194735255499105","0.85393540708655891","0.88854659199408303","0.99369994419962671","0.95821727019498604","0.65733333333333333"
"45","Niger","Niamey","0.48191092629570476","0.4558998806461167","0.40150381384166028","0.42575932487949325","0.48509598467733034","0.52095041782729801","0.60166666666666679"
"46","Nigeria","Lagos","0.49576968119559839","0.581558919895516","0.47456997809316304","0.63436160937267994","0.57628049800842629","0.65933147632311973","0.26183333333333336"
"47","Norway","Oslo","0.92376284975628198","0.92894201653242758","0.86994579605931344","0.9135745724314096","0.99749056993367968","0.93931104921077069","0.90333333333333332"
"48","Philippines","Manila","0.72250565042381565","0.73662955798680152","0.67643427941909939","0.64687500629116168","0.77501165256377857","0.86824512534818943","0.66866666666666674"
"49","Poland","Warsaw","0.88348335873224926","0.90102483066823658","0.84624752057922814","0.86352226310938507","0.98992319740486467","0.91111792014856086","0.81666666666666665"
